{A1}

(article)
    0. (1076) 3T *#PT a [æ/eɪ] (article) {A1} indefinite - a/an; (letter) A b c d
              3T *#  an [æn] (article) {A1} indefinite - a/an
   42. (  1) 3T *#PT anything [ˈɛnɪθɪŋ] (pron) {A1} что-нибудь, все, ничто; (adv) сколько-нибудь, в какой-либо мере
  260. (  1) 3T *#PT everybody [ˈɛvrɪbɒdi] (pron) {A1} все, каждый, всякий
  261. (  1) 3T *#PT everyone [ˈɛvrɪwʌn] (pron) {A1} все, каждый, всякий
  262. (  1) 3T *#PT everything [ˈɛvrɪθɪŋ] (pron) {A1} все; (n) все самое важное, куча
  533. (  1) 3T *#PT nobody [ˈnəʊbədi] (pron) {A1} никто; (n) никому не известный человек, ничтожество, говню
  538. (  1) 3T *#PT nothing [ˈnʌθɪŋ] (n) ничего, ничто; (pron) {A1} ничего, ничто; (adv) совсем нет, нисколько

(pron)
  364. (  1) 3T *#PT he [hiː] (pron)(subject) {A1} он, he-him-his-his-himself
  371. (  2) 3T *#PT her [hɜː] (pron)(object) {A2} ее, (pron)(possessive adj) {A1} ее, she-her-her-hers-herself
  376. (  1) 3T *#PT him [hɪm] (pron)(object) {A1} его, ему, he-him-his-his-himself
  377. (  1) 3T *#PT his [hɪz] (pron)(possessive adj) {A1} его, (pron)(possessive pron) {A2} свой, свое, he-him-his-his-himself
  395. (  1) xT *#PT i [aɪ] (pron)(subject) {A1} я, I-me-my-mine-myself; (letter) h I j k; (Rome)(num) 1; (abbr) Current
  476. (  1) 3T *#PT me [miː] (pron)(object) {A1} мне, I-me-my-mine-myself
  514. (  1) 3T *#PT my [maɪ] (pron)(possessive adj) {A1} мой, I-me-my-mine-myself
  564. (  1) 3T *#PT our [ˈaʊə] (pron)(possessive adj) {A1} наш, we-us-our-ours-ourselves

(adv)
   22. (  1) 3T *#PT again [əˈgɛn] (adv) {A1} {C1} {opinion and argument} очередной раз, снова, опять
   31. (  1) 3T *#PT also [ˈɔːlsəʊ] (adv) {A1} также
